date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:41:17	44516/44516	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202017%2006:11:59%20GMT	https://upplanet.com/bighero/mehr-demo/particles/index.html	C:/My%20Web%20Sites/Digitalinsurance/upplanet.com/bighero/mehr-demo/particles/index.html	(from )
13:41:19	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jun%202020%2010:41:18%20GMT	https://upplanet.com/robots.txt		(from )
13:41:21	121260/121260	---M--	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2006:11:59%20GMT	https://upplanet.com/bighero/mehr-demo/particles/css/bootstrap.min.css	C:/My%20Web%20Sites/Digitalinsurance/upplanet.com/bighero/mehr-demo/particles/css/bootstrap.min.css	(from https://upplanet.com/bighero/mehr-demo/particles/index.html)
13:41:22	28931/28931	---M--	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2006:11:59%20GMT	https://upplanet.com/bighero/mehr-demo/particles/css/font-awesome.min.css	C:/My%20Web%20Sites/Digitalinsurance/upplanet.com/bighero/mehr-demo/particles/css/font-awesome.min.css	(from https://upplanet.com/bighero/mehr-demo/particles/index.html)
13:41:23	7782/7782	---M--	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2006:11:59%20GMT	https://upplanet.com/bighero/mehr-demo/particles/css/magnific-popup.css	C:/My%20Web%20Sites/Digitalinsurance/upplanet.com/bighero/mehr-demo/particles/css/magnific-popup.css	(from https://upplanet.com/bighero/mehr-demo/particles/index.html)
13:41:25	52789/52789	---M--	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2006:11:59%20GMT	https://upplanet.com/bighero/mehr-demo/particles/css/animate.min.css	C:/My%20Web%20Sites/Digitalinsurance/upplanet.com/bighero/mehr-demo/particles/css/animate.min.css	(from https://upplanet.com/bighero/mehr-demo/particles/index.html)
13:41:27	32060/32060	---M--	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2006:11:59%20GMT	https://upplanet.com/bighero/mehr-demo/particles/css/style.css	C:/My%20Web%20Sites/Digitalinsurance/upplanet.com/bighero/mehr-demo/particles/css/style.css	(from https://upplanet.com/bighero/mehr-demo/particles/index.html)
13:41:28	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Sat,%2011%20Mar%202017%2006:11:59%20GMT	https://upplanet.com/bighero/mehr-demo/particles/img/favicon.ico	C:/My%20Web%20Sites/Digitalinsurance/upplanet.com/bighero/mehr-demo/particles/img/favicon.ico	(from https://upplanet.com/bighero/mehr-demo/particles/index.html)
13:41:30	28194/28194	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Mar%202017%2006:11:59%20GMT	https://upplanet.com/bighero/mehr-demo/particles/img/logo.png	C:/My%20Web%20Sites/Digitalinsurance/upplanet.com/bighero/mehr-demo/particles/img/logo.png	(from https://upplanet.com/bighero/mehr-demo/particles/index.html)
13:41:34	197088/197088	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202017%2006:11:59%20GMT	https://upplanet.com/bighero/mehr-demo/particles/img/office-space.jpg	C:/My%20Web%20Sites/Digitalinsurance/upplanet.com/bighero/mehr-demo/particles/img/office-space.jpg	(from https://upplanet.com/bighero/mehr-demo/particles/index.html)
13:41:35	289503/289503	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Mar%202017%2006:11:59%20GMT	https://upplanet.com/bighero/mehr-demo/particles/img/dashboard.png	C:/My%20Web%20Sites/Digitalinsurance/upplanet.com/bighero/mehr-demo/particles/img/dashboard.png	(from https://upplanet.com/bighero/mehr-demo/particles/index.html)
13:41:35	18728/18728	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202017%2006:11:59%20GMT	https://upplanet.com/bighero/mehr-demo/particles/img/team/1.jpg	C:/My%20Web%20Sites/Digitalinsurance/upplanet.com/bighero/mehr-demo/particles/img/team/1.jpg	(from https://upplanet.com/bighero/mehr-demo/particles/index.html)
13:41:37	21786/21786	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202017%2006:11:59%20GMT	https://upplanet.com/bighero/mehr-demo/particles/img/team/2.jpg	C:/My%20Web%20Sites/Digitalinsurance/upplanet.com/bighero/mehr-demo/particles/img/team/2.jpg	(from https://upplanet.com/bighero/mehr-demo/particles/index.html)
13:41:39	21942/21942	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Mar%202017%2006:11:59%20GMT	https://upplanet.com/bighero/mehr-demo/particles/img/team/3.jpg	C:/My%20Web%20Sites/Digitalinsurance/upplanet.com/bighero/mehr-demo/particles/img/team/3.jpg	(from https://upplanet.com/bighero/mehr-demo/particles/index.html)
